Date,Depth,Density,Latitude,Longitude
2020-03-26 12:00:00,0.35864213,386.44824,85.99529167,13.08733667
2020-03-27 12:00:00,0.36708996,387.5247,85.82462667,13.38399667
2020-03-28 12:00:00,0.37127268,391.7569,85.585175,13.24803833
2020-03-29 12:00:00,0.36979434,395.64957,85.422115,13.205025
2020-03-30 12:00:00,0.36844683,397.35794,85.37529857,13.21171286
2020-03-31 12:00:00,0.36649263,404.06387,85.29428,14.081585
2020-04-01 12:00:00,0.36786622,410.23694,85.10970833,15.52027167
2020-04-02 12:00:00,0.36279485,417.04248,84.94300667,14.962355
2020-04-03 12:00:00,0.35874626,422.23932,84.78702333,13.46007167
2020-04-04 12:00:00,0.35609645,426.07983,84.65815333,12.90992167
2020-04-05 12:00:00,0.35890806,424.9383,84.57771333,13.44410833
2020-04-06 12:00:00,0.3780679,406.63535,84.53312667,14.32531667
2020-04-07 12:00:00,0.3829803,402.1889,84.4985,14.54125167
2020-04-08 12:00:00,0.39556706,391.11594,84.47790667,14.70465
2020-04-09 12:00:00,0.4036628,384.47726,84.42709833,14.78881167
2020-04-10 12:00:00,0.40711746,381.8281,84.37777,14.62231333
2020-04-11 12:00:00,0.4122143,377.9186,84.3215,14.73946833
2020-04-12 12:00:00,0.4142283,376.55133,84.29096333,14.75019333
2020-04-13 12:00:00,0.41248283,378.29623,84.29353667,14.96398167
2020-04-14 12:00:00,0.41134825,382.61145,84.33999333,14.63460333
2020-04-15 12:00:00,0.42688757,378.3801,84.32624167,13.8768
2020-04-16 12:00:00,0.40582508,403.66644,84.33760333,13.09089833
2020-04-17 12:00:00,0.40086266,409.1965,84.41782833,13.69536333
2020-04-18 12:00:00,0.39657512,414.9259,84.47650167,13.867435
2020-04-19 12:00:00,0.39315385,421.9892,84.59139,14.73716333
2020-04-20 12:00:00,0.44465938,402.79605,84.53253667,14.57786
2020-04-21 12:00:00,0.42230326,418.5433,84.28755333,15.25480167
2020-04-22 12:00:00,0.41643825,424.13046,84.11830167,15.949225
2020-04-23 12:00:00,0.41544852,425.12268,84.07197667,16.02856167
2020-04-24 12:00:00,0.41434714,426.2093,84.052275,15.89239167
2020-04-25 12:00:00,0.41362518,426.9604,83.99842167,15.58567333
2020-04-26 12:00:00,0.41221055,428.3277,83.92498333,15.50707667
2020-04-27 12:00:00,0.407799,432.79626,83.93483667,15.63785333
2020-04-28 12:00:00,0.40287602,439.43973,84.03724167,16.533205
2020-04-29 12:00:00,0.403262,439.9332,84.00650833,17.238945
2020-04-30 12:00:00,0.41052368,433.40085,83.93186333,17.496275
2020-05-01 12:00:00,0.43071604,415.72104,83.92043167,17.67741167
2020-05-02 12:00:00,0.43672138,410.8473,83.90208667,17.56992833
2020-05-03 12:00:00,0.44105944,407.32562,83.88555,17.95732667
2020-05-04 12:00:00,0.44252276,406.1854,83.90733167,18.35043
2020-05-05 12:00:00,0.44776872,402.6115,83.92111833,18.09243
2020-05-06 12:00:00,0.4476197,403.6251,83.92150333,17.67265833
2020-05-07 12:00:00,0.43162125,417.2608,83.93269167,16.64493167
2020-05-08 12:00:00,0.43226758,424.41595,83.85053,15.17604333
2020-05-09 12:00:00,0.42625695,430.11606,83.76869167,13.95612167
2020-05-10 12:00:00,0.4184578,437.5255,83.65612833,13.451615
2020-05-11 12:00:00,0.4301464,434.67004,83.493485,13.1076
2020-05-12 12:00:00,0.41713423,442.41812,83.423655,12.65358667
2020-05-13 12:00:00,0.39244935,453.4055,83.36905833,10.50478
2020-05-14 12:00:00,0.38348636,462.93805,83.39173167,9.883016667
2020-05-15 12:00:00,0.37913668,467.08145,83.38997167,9.291803333
2020-05-16 12:00:00,0.37821895,467.93005,83.39137833,9.11117
2020-05-17 12:00:00,0.3815262,464.74335,83.36911,9.009423333
2020-05-18 12:00:00,0.39304143,454.77005,83.32333333,8.689116667
2020-05-19 12:00:00,0.4087144,441.35187,83.26419333,8.88197
2020-05-20 12:00:00,0.4139421,437.21808,83.15667667,10.03031833
2020-05-21 12:00:00,0.41137406,439.62766,82.97597,11.061305
2020-05-22 12:00:00,0.41348705,438.118,82.92837167,11.61425
2020-05-23 12:00:00,0.41362375,438.26303,82.791705,10.45704333
2020-05-24 12:00:00,0.4126087,439.81458,82.72070167,10.22130167
2020-05-25 12:00:00,0.42119342,440.04434,82.64345,8.621725
2020-05-26 12:00:00,0.39547578,484.3322,82.312835,8.161863333
2020-05-27 12:00:00,0.34833804,549.3641,82.39345,8.340941667
2020-05-28 12:00:00,0.32024354,549.93945,82.37136333,8.367966667
2020-05-29 12:00:00,0.3043733,540.51495,82.19554167,9.11878
2020-05-30 12:00:00,0.28835374,549.7078,81.93496,9.456202
2020-05-31 12:00:00,0.27956638,550.0,81.72138833,9.902268333
2020-06-01 12:00:00,0.257414,549.8838,81.35557667,9.910343333
2020-06-02 12:00:00,0.24062608,549.5459,80.88973333,9.546238333
2020-06-03 12:00:00,0.24001667,549.24774,78.81342667,9.324211667
2020-06-04 12:00:00,0.22850789,549.78925,78.23382,15.62832
2020-06-05 12:00:00,0.22306669,549.73596,78.23386,15.62479167
2020-06-06 12:00:00,0.22198719,550.0,78.23424,15.62027667
2020-06-07 12:00:00,0.22527604,522.55896,78.23612,15.619095
2020-06-08 12:00:00,0.24021734,547.05554,78.236095,15.62935833
2020-06-09 12:00:00,0.20429422,550.0,80.46207,10.717085
2020-06-10 12:00:00,0.19872023,549.97565,81.05308833,10.95905167
2020-06-11 12:00:00,0.1918419,549.76434,81.66556667,9.000643333
2020-06-12 12:00:00,0.17295589,546.88995,82.13268833,7.993838333
2020-06-13 12:00:00,0.17470258,542.7691,82.151675,7.690205
2020-06-14 12:00:00,0.18014266,529.1362,82.04068833,7.81375
2020-06-15 12:00:00,0.16878243,549.9416,82.030695,8.22772
2020-06-16 12:00:00,0.1620434,549.13965,82.19070667,8.31196
2020-06-17 12:00:00,0.1336965,548.9793,82.14164333,8.51899
2020-06-18 12:00:00,0.10285293,549.89044,82.06955167,8.537071667
2020-06-19 12:00:00,0.08702836,542.4239,82.02778833,8.755756667
2020-06-20 12:00:00,0.08751535,539.8509,82.02521333,9.145786667
2020-06-21 12:00:00,0.061966185,550.0,81.979525,9.175036667
2020-06-22 12:00:00,0.041850746,547.11926,81.96627333,9.31448
2020-06-23 12:00:00,0.023666661,546.81085,81.99742333,9.693806667
2020-06-24 12:00:00,0.0,0.0,82.03473333,9.983806667
2020-06-25 12:00:00,0.0,0.0,82.05102333,10.171755
2020-06-26 12:00:00,0.0,0.0,82.02319,10.20555833
2020-06-27 12:00:00,0.0,0.0,81.94524167,9.87425
2020-06-28 12:00:00,0.0,0.0,81.87234,9.469806667
2020-06-29 12:00:00,0.0,0.0,81.82298667,9.137076667
2020-06-30 12:00:00,0.0,0.0,81.79156667,8.973131667
2020-07-01 12:00:00,0.0,0.0,81.76528333,8.866563333
2020-07-02 12:00:00,0.0,0.0,81.71862,8.445876667
2020-07-03 12:00:00,0.0,0.0,81.67227833,7.489066667
2020-07-04 12:00:00,0.0,0.0,81.709565,6.69411
2020-07-05 12:00:00,0.0,0.0,81.69604,6.230821667
2020-07-06 12:00:00,0.0,0.0,81.68034333,5.38548
2020-07-07 12:00:00,0.0,0.0,81.63800833,4.482323333
2020-07-08 12:00:00,0.0,0.0,81.594274,3.218396
2020-07-09 12:00:00,0.0,0.0,81.54148,2.5799725
2020-07-10 12:00:00,0.0053687594,184.32869,81.50428667,2.359063333
2020-07-11 12:00:00,0.0,0.0,81.44557833,1.5131
2020-07-12 12:00:00,0.0,0.0,81.44317833,0.477386667
2020-07-13 12:00:00,0.0,0.0,81.41518333,0.294756667
2020-07-14 12:00:00,0.0,0.0,81.37612833,0.253985
2020-07-15 12:00:00,0.0,0.0,81.29677,0.318453333
2020-07-16 12:00:00,0.0,0.0,81.22633,0.285368333
2020-07-17 12:00:00,0.0,0.0,81.14489,0.35578
2020-07-18 12:00:00,0.0,0.0,81.037765,0.42695
2020-07-19 12:00:00,0.0,0.0,80.88455,-0.19112
2020-07-20 12:00:00,0.0,0.0,80.75144,-0.510771667
2020-07-21 12:00:00,0.0,0.0,80.60317333,-0.58259
2020-07-23 12:00:00,0.0,0.0,80.34350333,-0.66127
2020-07-24 12:00:00,0.0,0.0,80.18782333,-0.59011
2020-07-25 12:00:00,0.0,0.0,79.93536,-0.805851667
2020-07-26 12:00:00,0.0,0.0,79.78604167,-1.781673333
2020-07-27 12:00:00,0.0,0.0,79.58246333,-2.310761667
2020-07-28 12:00:00,0.0,0.0,79.35365,-2.68759
2020-07-29 12:00:00,0.0,0.0,79.18456833,-2.593293333
2020-07-30 12:00:00,0.0,0.0,79.095065,-2.435108333
2020-07-31 12:00:00,0.0,0.0,79.00276,-2.922761667
